Whole Foods Market,www.wholefoodsmarket.com,,,,6069,3.3,3.5,3.6,3.5,Satisfied,65,2.9,3.2
UCSF Medical Center and UCSF Benioff Children’s Hospitals,www.ucsfhealth.org,Health Care Services & Hospitals,Health Care Services & Hospitals,Health Care,313,3.6,4.0,3.8,3.9,Satisfied,82,3.3,3.6
Insight Global,www.insightglobal.com,Staffing & Outsourcing,Staffing & Outsourcing,Business Services,6253,4.2,3.9,4.2,4.1,Very Satisfied,80,4.1,4.0
SF State University,www.sfsu.edu,Colleges & Universities,Colleges & Universities,Education,326,3.1,3.0,3.6,3.7,Satisfied,67,3.0,3.8
Peet's,www.peets.com,Fast-Food & Quick-Service Restaurants,Fast-Food & Quick-Service Restaurants,Restaurants, Bars & Food Services,591,3.2,3.3,3.7,3.4,OK,60,3.0,3.5
Bio-Rad Laboratories,www.bio-rad.com,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,504,2.7,3.2,2.9,3.1,OK,55,2.7,3.3
StubHub,www.stubhub.com,Ticket Sales,Ticket Sales,Arts, Entertainment & Recreation,355,2.9,4.0,3.3,3.2,OK,51,2.6,3.4
Cognizant Technology Solutions,www.cognizant.com,,,,22545,3.4,3.1,3.5,3.6,Satisfied,73,2.9,3.3
Dropbox,www.dropbox.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,358,3.6,4.2,4.2,4.0,Satisfied,79,3.5,4.0
Genesys,www.genesys.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,871,3.6,3.8,3.9,3.7,Satisfied,68,3.6,4.0
Fisher Investments,www.fishercareers.com,Investment Banking & Asset Management,Investment Banking & Asset Management,Finance,486,3.5,3.9,3.4,3.6,Satisfied,65,3.4,3.6
Dolby,www.dolby.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,328,2.8,3.7,3.3,3.3,OK,53,2.7,4.0
Walmart,www.walmart.com,General Merchandise & Superstores,General Merchandise & Superstores,Retail,34936,3.3,3.3,3.1,3.2,OK,55,2.7,2.9
Infosys,www.infosys.com,IT Services,IT Services,Information Technology,26893,3.4,2.8,3.8,3.4,OK,62,3.0,3.5
Postmates,www.postmates.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,1014,2.2,2.1,2.3,3.1,OK,52,2.0,3.2
AKQA,www.akqa.com,Advertising & Marketing,Advertising & Marketing,Business Services,522,3.4,3.4,3.7,3.6,Satisfied,70,3.1,3.2
Castlight,www.castlighthealth.com,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,299,3.8,4.0,4.2,4.0,Satisfied,76,3.8,3.8
First Republic Bank,www.firstrepublic.com,Banks & Credit Unions,Banks & Credit Unions,Finance,308,3.3,3.9,4.0,3.7,Satisfied,69,3.2,3.4
The Home Depot,www.homedepot.com,,,,17539,3.4,3.3,3.7,3.5,Satisfied,68,3.1,3.2
Logitech,www.logitech.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,424,3.4,3.7,3.8,3.8,Satisfied,80,3.5,3.7
,,,,,,,,,,,,,
KPMG,us-jobs.kpmg.com,Accounting,Accounting,Accounting & Legal,12788,3.9,3.2,3.7,3.8,Satisfied,78,3.3,2.9
Amazon,www.amazon.jobs,Internet,Internet,Information Technology,23544,3.8,3.8,3.7,3.8,Satisfied,74,3.4,3.3
DocuSign,www.docusign.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,657,4.3,4.0,4.5,4.5,Very Satisfied,90,4.3,4.4
Best Buy,www.bestbuy.com,,,,16330,3.4,3.6,3.9,3.8,Satisfied,80,3.4,3.4
Old Navy,www.oldnavy.com,Department, Clothing, & Shoe Stores,Department, Clothing, & Shoe Stores,Retail,4602,3.2,3.1,3.6,3.5,Satisfied,64,3.0,3.3
GoPro,www.gopro.com,Consumer Products Manufacturing,Consumer Products Manufacturing,Manufacturing,271,3.0,3.8,3.9,3.4,OK,47,2.5,4.0
Shutterfly,www.shutterflyinc.com,Internet,Internet,Information Technology,490,2.8,3.3,3.5,3.4,OK,62,2.9,3.6
Apttus,www.apttus.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,387,3.6,3.7,3.4,3.6,Satisfied,65,3.3,3.2
Marketo,www.marketo.com,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,368,4.0,3.9,4.1,4.1,Very Satisfied,78,3.9,4.0
Blackhawk Network,www.blackhawknetwork.com,Financial Transaction Processing,Financial Transaction Processing,Finance,360,2.8,2.9,3.0,3.0,OK,51,2.8,3.3
Restoration Hardware,www.restorationhardware.com,Home Furniture & Housewares Stores,Home Furniture & Housewares Stores,Retail,650,2.5,2.7,2.7,2.7,OK,36,2.3,2.5
CBS Interactive,www.cbsinteractive.com,TV Broadcast & Cable Networks,TV Broadcast & Cable Networks,Media,444,3.0,3.2,3.5,3.3,OK,59,3.1,3.9
Ellie Mae,www.elliemae.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,247,4.3,4.3,4.6,4.4,Very Satisfied,87,4.3,4.2
Cisco Systems,www.cisco.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,14541,3.7,3.9,4.0,3.9,Satisfied,80,3.4,4.1
Support.com,www.support.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,800,2.0,2.3,2.2,2.4,Dissatisfied,33,2.1,2.6
Trulia,www.trulia.com,Internet,Internet,Information Technology,318,4.0,4.5,4.4,4.2,Very Satisfied,77,3.9,4.5
Triage Consulting Group,www.triageconsulting.com,Consulting,Consulting,Business Services,276,3.8,3.5,4.1,3.9,Satisfied,74,3.9,4.6
Revel Systems,www.revelsystems.com,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,252,3.2,3.1,3.2,3.3,OK,54,3.1,3.2
Gap Inc.,jobs.gapinc.com,Department, Clothing, & Shoe Stores,Department, Clothing, & Shoe Stores,Retail,689,3.0,3.3,3.8,3.4,OK,61,2.9,3.4
Okta,www.okta.com,Computer Hardware & Software,Computer Hardware & Software,Information Technology,278,4.1,4.1,4.2,4.0,Satisfied,79,4.1,3.5
J.P. Morgan,www.jpmorgan.com,Investment Banking & Asset Management,Investment Banking & Asset Management,Finance,14521,3.6,3.7,3.6,3.7,Satisfied,76,3.3,3.4
Zendesk,www.zendesk.com,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,361,4.1,4.3,4.4,4.4,Very Satisfied,87,4.0,4.6
Quantcast,www.quantcast.com,Internet,Internet,Information Technology,279,3.3,3.5,3.8,3.6,Satisfied,58,3.3,4.0
City and County of San Francisco,www.sfgov.org,Federal Agencies,Federal Agencies,Government,252,3.4,3.9,3.2,3.7,Satisfied,69,2.9,3.8
Sutter Health,www.sutterhealth.org,Health Care Services & Hospitals,Health Care Services & Hospitals,Health Care,764,3.4,3.8,3.5,3.6,Satisfied,67,3.0,3.5
Sungevity,www.sungevity.com,Energy,Energy,Oil, Gas, Energy & Utilities,360,2.6,3.1,3.4,2.8,OK,26,2.3,3.1
RingCentral,www.ringcentral.com,Telecommunications Services,Telecommunications Services,Telecommunications,303,3.3,3.4,3.3,3.4,OK,61,3.2,3.3
Macy's Technology,technology.macysjobs.com,Internet,Internet,Information Technology,437,2.8,2.6,3.1,3.0,OK,41,2.6,3.5
University of San Francisco,www.usfca.edu,Colleges & Universities,Colleges & Universities,Education,282,3.5,3.8,4.2,4.0,Satisfied,84,3.5,4.1
Comcast,www.comcastcareers.com,Cable, Internet & Telephone Providers,Cable, Internet & Telephone Providers,Telecommunications,7490,3.4,3.8,3.4,3.5,Satisfied,66,3.0,3.3
Risk Management Solutions,www.rms.com,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Information Technology,385,3.0,3.3,3.1,3.2,OK,57,2.8,3.4
LeapFrog,www.leapfrog.com,Consumer Products Manufacturing,Consumer Products Manufacturing,Manufacturing,205,2.4,3.1,3.3,2.7,OK,16,2.1,3.6
24 Hour Fitness,www.24hourfitness.com,Sports & Recreation,Sports & Recreation,Arts, Entertainment & Recreation,1756,3.2,2.6,3.4,3.2,OK,58,3.0,3.2
Instacart,www.instacart.com,Consumer Product Rental,Consumer Product Rental,Consumer Services,932,1.9,1.9,2.0,3.0,OK,50,1.8,3.0
Virgin America,www.virginamerica.com,Airlines,Airlines,Travel & Tourism,311,3.3,3.4,4.2,4.0,Satisfied,70,3.1,3.5
